round,loss,auc_pr,f2,recall
1,1.2412613209851733,0.5311201246072957,0.0,0.0
2,1.2322313214911789,0.5683013264797846,0.0,0.0
3,1.2256479473806376,0.6025852441511022,0.0,0.0
4,1.2139392303917949,0.5990152522814441,0.0,0.0
5,1.200440680841093,0.6098104416050468,0.24624386282687713,0.21573324277693912
6,1.1882686740620634,0.6388364051750307,0.7575207414178186,0.8438420217374651
7,1.1758917960405908,0.6612229237472299,0.7699058268609037,0.868793882558688
8,1.163866491005069,0.6830265212463557,0.77613142463357,0.8799239639005955
9,1.151643805704854,0.6891228960845249,0.778046405518396,0.8799663995523648
10,1.1387646738204242,0.7053826492353555,0.7831004500398822,0.8862465442456741
11,1.1269527872496523,0.7157100082800457,0.7826963383761202,0.8850022333446976
12,1.1151158304348483,0.7263167121219444,0.7842105964521509,0.8863142363574923
13,1.10361347935518,0.7389365067523224,0.7813604654243594,0.8813460946769778
14,1.0918085105525246,0.7475774197202708,0.7858068262162597,0.8863738512009818
15,1.0809569366642686,0.7523408803606046,0.7867253195339055,0.8876181621019584
16,1.0704047990906156,0.7577201942597768,0.7859789982470305,0.8863738512009819
17,1.0601274551775752,0.7604626701721878,0.7872431892040589,0.8875838037185179
18,1.0504196661138423,0.7650207990034048,0.7895030782225906,0.8901401176322892
19,1.0406735015417987,0.7696357170963367,0.7881325652449289,0.8864415433128002
20,1.0316534510820197,0.7711572380119198,0.783380649796845,0.8789938817537245
